amount,transaction_frequency,transaction_hour,location_mismatch,device_change,account_age_days,previous_transaction_count,failed_transaction_count,international_transaction,unusual_transaction,is_fraud
8313.12,4,16,1,0,333,18,1,0,0,0
3263.82,8,4,0,0,259,11,0,1,0,0
7021.8,5,2,0,0,358,19,1,0,1,0
2294.05,3,17,0,0,320,15,0,0,0,0
3093.15,10,0,0,0,1208,72,0,0,0,0
3035.9,5,17,0,0,471,25,1,1,0,0
1345.01,5,3,0,0,581,21,2,0,0,0
7237.08,7,6,0,0,366,18,1,0,0,0
2781.09,6,16,0,0,408,27,0,0,0,0
4502.98,8,14,0,1,356,25,1,0,1,0
7192.16,5,18,0,0,361,22,1,0,0,0
6950.24,1,14,0,1,218,9,0,0,0,0
8650.61,2,1,0,0,571,34,1,0,0,0
4029.97,3,20,0,0,1258,62,0,0,0,0
2912.31,6,5,0,0,365,20,0,0,0,0
4106.32,5,3,0,0,158,10,1,0,0,1
822.76,3,21,0,0,661,30,0,0,0,0
1046.17,7,4,0,0,935,29,0,0,1,0
1184.77,9,12,0,1,228,11,1,0,0,0
1640.49,6,11,0,1,129,9,0,0,0,0
6632.75,6,18,0,0,530,24,0,0,0,0
1798.16,4,1,0,0,374,13,0,0,0,0
3046.77,5,2,0,0,498,22,1,0,1,0
16305.02,3,9,0,0,345,17,0,1,0,0
3114.23,1,11,0,0,293,20,1,0,0,0
9297.64,6,18,0,0,167,14,1,0,0,0
1748.27,6,14,1,0,454,26,0,1,0,0
3621.21,7,3,0,0,112,0,0,0,0,0
1719.83,5,23,0,0,569,21,1,0,0,0
3168.35,10,11,0,0,544,23,0,1,0,0
10304.21,7,23,0,0,442,27,1,0,0,0
790.51,5,23,0,0,774,39,0,0,0,0
6866.6,4,1,0,1,274,14,1,0,0,0
5640.54,5,12,0,1,267,10,1,1,0,0
2454.92,6,10,0,1,252,13,0,1,1,0
1047.27,7,11,0,0,386,17,0,0,0,0
4779.68,4,7,0,0,312,15,0,0,0,0
2618.89,8,13,0,0,245,11,2,0,0,0
5612.08,4,11,0,0,261,9,0,0,0,0
4545.31,2,4,0,0,428,21,1,0,0,0
22065.68,5,6,0,0,725,38,0,0,0,0
3500.44,5,3,0,0,214,7,0,0,0,0
1597.99,3,20,0,0,39,9,0,0,0,0
5320.25,8,16,0,0,522,34,0,1,0,0
5541.37,4,9,0,1,158,8,0,0,0,0
17312.56,5,9,0,0,723,31,0,0,0,0
10250.8,5,1,0,0,583,24,1,0,0,0
6354.2,4,6,0,0,618,30,0,0,0,0
19212.24,5,22,0,0,357,15,0,1,0,0
1354.57,4,0,0,0,699,34,1,1,0,0
2345.49,11,3,0,1,451,28,0,0,0,0
1760.62,3,20,0,0,426,16,0,0,0,0
3011.49,8,12,1,0,377,11,1,0,0,0
1122.5,4,0,0,0,484,24,0,0,0,0
8392.98,5,11,0,0,96,4,1,0,0,0
3560.93,7,17,0,0,243,12,0,0,1,0
1021.67,7,8,0,0,243,17,0,0,0,0
1610.69,9,9,0,0,319,8,1,0,0,0
6084.59,4,15,0,0,152,6,0,0,0,0
10281.76,5,14,0,0,206,11,0,0,0,0
32752.38,10,21,0,1,120,8,1,0,0,0
81949.83,4,5,0,1,204,9,0,0,1,1
6730.53,5,6,0,0,173,5,1,0,0,0
1653.19,3,3,0,0,200,16,1,1,0,0
527.4,3,15,0,0,592,43,2,0,0,0
5812.18,6,12,0,1,326,17,0,0,0,0
1972.5,4,8,0,0,287,13,0,0,0,0
2935.53,5,16,1,1,770,35,0,0,0,0
2411.26,5,9,0,0,433,22,1,0,1,0
3863.04,7,4,0,0,457,27,0,0,0,0
12912.88,8,12,0,0,378,30,0,0,0,0
5203.3,6,10,0,1,601,36,1,0,0,0
3794.72,6,9,0,0,663,31,0,1,1,0
1578.68,2,10,0,0,421,17,0,0,0,0
833.24,4,21,0,0,596,32,0,1,0,0
2734.47,2,5,1,0,484,21,0,0,0,0
4214.21,9,6,0,0,432,16,0,0,0,0
26054.09,5,13,1,0,269,12,0,0,0,1
5065.84,1,1,0,0,196,4,1,0,0,0
11881.52,4,3,0,0,98,7,0,0,0,0
2699.18,9,13,0,0,908,41,0,0,0,0
1359.75,5,12,0,1,600,26,1,0,0,0
1694.06,6,15,0,0,249,13,0,0,0,0
2153.34,1,2,1,0,82,5,0,0,0,0
37364.25,4,20,0,0,486,17,1,0,0,0
1955.91,7,11,0,0,276,11,0,0,0,0
10285.49,7,3,0,1,621,35,0,0,0,1
1802.76,6,7,0,0,163,6,2,0,0,0
11288.88,6,5,0,0,242,10,0,0,0,0
6535.15,6,10,0,1,297,16,0,0,1,1
3802.3,6,11,0,0,531,24,0,1,0,0
4269.44,6,10,1,0,209,8,2,0,0,1
2310.48,8,11,0,0,490,21,1,1,0,0
6947.05,2,21,0,1,103,1,1,0,0,0
2821.48,11,23,0,1,328,20,1,0,0,0
1305.57,2,11,0,1,832,43,1,0,0,0
1239.0,7,23,0,0,1060,53,1,0,0,0
5284.79,8,19,0,0,689,46,0,0,0,0
21570.7,9,19,0,0,80,4,0,0,0,0
5218.64,10,5,0,0,306,12,0,0,0,0
3949.57,6,10,0,0,335,10,0,0,0,0
5918.43,1,8,0,1,633,26,1,0,0,0
16415.84,6,2,0,0,372,16,0,0,1,0
5537.97,5,1,0,0,155,14,0,0,0,0
2948.56,7,14,1,0,696,28,1,0,0,0
13444.01,7,10,0,0,977,39,1,0,0,0
6827.79,7,19,0,1,571,29,0,0,0,0
20655.89,2,16,0,0,202,9,0,1,0,1
5341.35,5,2,1,0,1123,54,1,0,0,0
1307.05,5,20,0,0,605,22,2,0,0,0
1132.11,5,11,0,0,541,28,0,1,0,0
23177.28,8,13,0,0,950,37,1,0,0,0
24925.98,5,23,0,0,616,41,0,0,0,0
3716.29,3,15,0,0,314,10,0,0,0,0
3031.5,7,0,0,0,875,36,0,0,0,0
19176.57,5,4,0,0,168,10,0,0,1,0
1469.91,5,10,0,0,195,5,1,0,0,0
1817.6,5,0,0,0,232,12,0,0,1,1
8461.88,5,4,0,0,380,15,0,0,0,0
2997.08,5,19,0,0,420,18,0,0,0,0
4424.35,12,3,1,0,299,12,0,0,0,0
3776.52,5,4,0,0,311,19,0,0,0,0
6232.76,1,12,0,0,435,23,1,0,0,0
18169.18,7,2,0,0,169,11,0,0,1,0
4868.71,6,6,0,0,511,21,1,0,0,0
8467.06,7,22,0,0,35,2,1,0,0,0
572.39,9,15,0,0,346,26,0,0,0,0
4235.61,7,23,0,0,231,13,0,0,0,0
1913.65,6,8,0,1,1094,50,0,0,0,0
1314.47,6,14,0,0,282,9,0,0,0,0
1847.98,8,5,0,1,382,21,0,0,0,0
3183.95,6,9,0,0,293,16,1,0,0,0
11113.35,8,4,0,0,144,2,1,1,0,0
1180.4,7,19,0,0,139,7,0,0,0,0
4585.39,8,4,0,1,119,12,1,0,0,0
2740.32,7,4,0,0,342,17,0,0,0,0
3204.55,10,11,0,0,274,14,0,0,0,0
12121.76,5,10,0,1,78,3,1,0,0,0
7616.83,8,7,0,1,1003,45,1,1,0,0
16939.41,9,8,0,0,542,25,1,0,0,0
3810.42,6,7,0,0,387,13,0,0,0,0
2217.33,8,21,0,0,51,2,2,0,0,0
3555.11,2,13,0,0,456,32,0,0,0,0
5667.46,6,22,0,0,372,23,0,0,0,0
5305.89,9,23,0,0,616,26,3,0,0,0
1503.59,7,15,0,0,198,12,0,0,0,0
4868.25,8,19,1,0,242,11,0,0,0,0
5587.17,10,2,0,0,413,23,1,0,0,0
55131.36,4,22,0,1,235,13,1,0,0,0
29052.06,3,11,0,0,452,15,0,0,0,0
1894.59,8,17,0,0,141,4,0,0,0,0
3336.3,9,5,0,0,323,20,0,0,0,0
1029.22,6,2,0,0,200,9,0,0,1,0
2463.39,4,21,0,0,596,26,1,0,0,0
6097.32,9,10,0,0,1161,55,0,0,0,0
14851.46,6,3,0,0,982,59,0,0,0,0
2145.05,6,15,0,0,69,4,0,1,0,0
2311.97,9,1,0,0,479,28,0,0,0,0
519.42,4,10,0,0,198,7,0,0,0,0
3779.45,7,16,0,0,137,6,0,0,0,0
1537.0,5,17,0,0,470,16,0,0,0,0
2619.03,7,10,0,0,137,5,0,0,1,0
1850.37,6,8,0,0,722,35,1,0,0,0
4047.03,7,20,0,0,477,21,1,0,0,0
766.83,4,4,0,0,627,34,1,0,0,0
1025.52,3,1,0,0,414,22,0,0,0,0
37393.31,8,3,0,0,123,8,0,0,0,0
1227.31,10,19,0,0,266,15,0,0,0,0
1485.07,6,11,0,0,806,34,0,0,0,0
27914.83,1,0,0,0,314,13,1,0,1,0
81232.21,8,4,0,1,298,14,0,0,0,1
1378.06,8,0,0,0,863,49,0,0,0,0
3077.13,5,19,0,0,404,17,0,0,0,0
6257.62,6,11,0,0,751,33,1,0,0,0
25051.72,3,1,0,0,318,14,0,1,0,0
1657.63,4,5,0,0,164,8,0,0,0,0
3479.77,11,14,0,0,42,2,0,0,0,0
9675.36,8,14,1,0,313,15,0,0,0,0
6868.95,6,19,0,0,373,20,1,0,1,0
3052.89,13,0,0,0,704,45,1,0,0,0
3890.05,11,1,0,1,5,1,0,0,0,1
1124.51,10,0,0,1,507,22,0,0,0,1
3504.58,6,9,0,0,350,19,0,1,0,0
3407.09,3,17,0,0,305,17,0,0,0,0
5609.24,7,15,0,0,1126,64,0,0,0,0
2552.1,9,5,0,0,479,28,0,0,0,0
7126.24,11,15,0,0,885,40,1,0,0,0
12243.08,10,15,1,0,193,17,0,0,0,0
5194.88,5,4,0,0,257,9,0,0,0,0
6321.78,12,17,0,0,708,40,0,0,0,0
4689.85,6,10,0,0,171,9,0,0,0,0
4447.44,6,1,0,1,179,7,2,0,0,1
2161.25,5,9,0,1,153,5,1,0,0,0
6102.75,7,18,1,0,230,9,0,0,0,0
4034.81,6,16,0,1,416,22,0,0,1,0
36068.25,11,6,0,0,504,30,0,0,0,0
21447.32,4,18,0,0,390,18,0,0,0,0
6541.01,3,9,0,0,273,19,1,0,0,0
2073.4,7,11,0,0,360,19,0,0,0,0
1462.04,5,2,0,0,891,53,0,0,0,0
14634.59,8,23,0,0,352,11,1,0,0,0
5783.41,4,20,0,0,258,11,1,0,1,0
7187.82,4,4,0,1,33,2,0,0,0,0
776.98,10,13,0,0,329,26,0,0,0,0
11242.3,3,18,0,1,688,43,1,0,0,0
7005.29,3,12,0,0,76,5,0,0,0,0
1464.94,3,5,0,0,120,7,1,1,0,0
2775.19,6,23,0,0,236,12,0,0,0,0
5789.01,6,6,0,0,210,11,2,0,0,0
4686.62,9,8,0,0,376,18,0,0,1,0
3320.36,2,8,0,0,1052,54,0,0,0,0
4009.86,5,21,0,0,145,5,1,0,0,0
3456.54,7,12,0,0,207,12,0,0,0,0
5180.01,3,17,0,0,309,16,1,0,1,0
19370.22,3,21,0,0,194,6,0,1,0,0
341.5,7,22,0,0,374,11,0,0,0,0
3509.22,2,20,0,0,492,20,0,0,0,0
5305.57,7,21,0,0,211,10,0,0,0,1
5978.91,6,22,0,0,620,30,0,0,0,0
3065.87,8,23,0,0,263,19,1,0,0,0
767.61,6,15,0,0,192,11,0,0,1,0
6173.34,6,3,0,0,95,5,1,0,0,0
25017.98,3,2,0,0,527,26,1,0,1,0
959.24,6,19,0,0,424,29,0,0,0,0
10549.44,4,7,0,1,138,7,0,0,0,0
3201.82,4,19,0,0,174,12,0,0,0,0
4182.55,3,22,0,0,400,18,0,0,0,0
1551.69,4,15,0,0,504,28,1,0,0,0
3182.89,8,18,0,1,435,25,1,0,0,0
16318.33,15,6,0,0,525,22,0,0,0,0
7963.75,5,10,0,0,1265,68,1,0,0,0
25142.42,2,23,0,0,627,35,0,0,0,0
14435.01,6,19,1,0,537,23,0,0,0,0
6898.69,7,4,0,0,227,11,1,0,0,0
25436.35,2,22,0,0,126,4,0,0,0,0
6898.04,5,11,0,1,807,45,1,0,1,0
10178.04,5,20,0,1,236,12,1,0,0,0
3305.78,4,12,0,0,464,24,0,0,0,0
4753.07,5,14,0,0,91,4,0,0,0,0
2214.04,7,3,0,0,60,0,0,0,0,0
11963.12,7,8,0,0,624,35,1,0,0,0
1368.81,5,17,0,0,189,10,0,0,0,0
9723.98,5,20,0,0,461,26,0,0,0,0
3675.15,6,2,0,0,190,12,0,1,0,0
14346.3,9,1,0,1,497,22,0,0,0,0
9422.62,6,16,0,0,323,20,0,0,0,0
27464.41,10,10,0,1,282,16,2,0,0,0
9235.17,5,20,0,0,431,21,2,0,0,0
923.31,3,1,0,0,480,13,0,0,0,0
4159.07,9,8,0,0,204,15,0,0,0,0
1377.45,3,0,1,0,464,14,0,0,0,0
2648.42,7,17,0,1,489,22,0,0,0,0
20155.42,3,20,1,0,616,19,0,0,0,0
8413.0,2,3,0,0,752,38,0,0,0,0
2210.71,9,7,0,0,333,18,1,0,0,0
1613.7,2,20,0,0,192,13,0,0,0,0
4595.27,1,0,0,0,156,9,0,0,0,0
1317.43,8,22,0,1,216,14,0,0,0,1
2273.01,6,21,0,0,230,13,1,0,0,0
6075.44,3,3,0,0,259,13,0,0,0,0
14119.5,4,3,0,0,326,17,1,0,0,0
8174.39,6,16,0,0,382,28,1,0,0,1
449.76,6,0,0,1,398,24,0,0,0,0
6029.18,6,12,0,0,560,20,0,1,0,0
4779.22,4,1,0,0,803,46,0,0,1,0
6727.04,5,12,0,0,401,18,0,0,0,0
22386.42,4,8,0,0,230,12,0,0,0,0
564.96,7,16,0,0,553,24,1,0,0,0
2462.41,6,21,0,0,530,20,1,0,0,0
8029.73,7,11,1,0,213,13,0,0,1,0
914.53,5,15,0,0,536,20,0,0,0,0
19456.74,9,14,0,0,22,1,0,1,0,0
6427.6,10,23,0,0,155,10,0,0,0,0
10369.08,3,5,0,0,127,4,0,0,0,0
2512.56,7,5,0,0,163,4,1,0,0,0
10034.29,5,9,0,1,561,37,0,0,0,0
12945.09,3,17,0,0,279,13,1,0,0,0
5613.21,5,20,0,0,607,36,0,0,0,0
5621.76,5,6,0,0,850,33,1,1,0,0
5827.5,8,2,0,0,822,44,0,0,0,0
1875.55,6,14,0,0,207,4,0,0,0,0
3837.1,7,14,0,0,288,20,0,0,0,0
3817.98,8,8,0,0,333,11,0,0,0,0
6524.98,7,4,0,0,930,64,0,0,0,0
12086.26,11,20,0,0,204,11,0,0,0,0
1542.97,6,20,0,1,674,33,0,0,0,0
3924.49,9,17,1,0,461,23,0,0,0,0
19564.18,8,13,0,0,33,2,0,0,0,0
2114.16,5,6,0,0,272,18,0,0,0,0
1954.23,4,9,0,1,147,14,0,0,0,0
5444.2,8,1,0,0,264,14,1,0,0,0
10346.31,4,5,0,0,35,3,0,0,0,0
4498.17,7,10,0,0,968,47,0,0,0,0
16797.08,12,10,1,0,245,14,1,0,0,0
10475.49,5,1,0,0,266,12,1,0,0,0
10319.8,9,22,0,0,908,49,0,0,1,0
7739.69,5,6,1,1,108,12,0,0,0,0
45599.55,5,12,0,0,474,25,0,0,0,0
3622.21,1,11,0,0,187,9,2,0,0,0
599.73,5,11,0,0,62,3,0,1,0,0
22120.37,3,20,0,1,516,26,0,0,0,0
2813.83,6,17,0,1,767,32,1,0,0,0
4953.65,7,20,0,0,318,22,1,0,0,0
16474.2,13,9,0,1,570,32,0,0,0,0
895.82,5,6,0,0,203,11,1,0,0,0
1272.01,6,10,0,0,485,24,0,0,1,0
896.7,2,13,0,1,341,14,0,0,0,0
2009.95,7,8,0,0,223,11,1,0,0,0
6902.48,9,11,0,0,141,5,1,0,0,0
7511.48,5,3,0,1,757,42,0,0,0,0
5862.16,10,14,0,0,351,16,1,0,0,0
1082.72,3,17,0,0,252,20,0,0,0,0
441.38,2,12,0,1,278,13,0,1,0,0
4695.47,4,20,0,1,496,35,0,0,0,0
2774.49,8,23,0,0,558,23,0,0,0,0
7040.16,3,21,0,1,343,13,0,0,0,0
8972.81,4,2,0,0,467,22,0,0,0,0
5106.36,5,21,0,1,264,11,2,0,0,0
9510.32,10,8,0,0,290,12,0,0,1,0
5592.67,12,10,0,0,521,26,0,0,0,0
7555.75,12,9,0,0,257,6,0,0,0,0
2198.05,5,6,0,0,132,5,0,0,0,0
3715.95,6,21,1,0,503,36,0,1,0,0
5414.18,8,15,0,0,443,33,1,0,0,0
10102.4,5,23,1,0,622,23,0,0,0,0
2999.67,6,22,1,0,498,25,1,1,0,1
7488.83,3,10,0,0,434,30,2,0,0,0
3408.96,5,17,0,0,115,10,0,0,0,0
3953.9,6,12,0,0,336,22,0,0,0,0
10193.64,4,11,0,0,231,11,0,0,0,0
606.04,7,17,0,0,495,21,0,0,0,0
1216.25,6,16,0,0,967,41,0,0,0,0
1010.11,3,21,1,0,551,32,0,0,0,0
431.12,7,18,0,0,108,3,3,0,0,0
2256.87,9,14,0,0,417,20,0,0,0,0
9409.11,6,22,0,0,233,20,0,0,0,0
3344.65,5,2,0,0,531,22,0,0,0,0
5419.67,5,18,0,0,590,37,1,0,0,0
13216.45,7,9,0,1,329,20,0,0,0,0
16775.69,7,10,0,0,259,9,1,0,1,0
4149.99,4,18,0,1,433,15,1,0,1,0
17215.85,9,6,0,0,212,7,4,0,0,0
4876.23,6,21,0,0,602,32,1,1,0,0
1924.85,5,11,0,1,500,27,0,0,0,0
2454.31,5,8,0,0,251,9,0,0,0,0
1011.78,6,7,0,1,148,6,0,0,0,0
1829.62,6,10,0,0,403,21,0,0,0,0
3108.77,5,22,0,0,676,49,0,0,0,0
9932.67,8,2,0,0,574,33,0,0,0,0
24853.9,11,12,0,0,130,2,0,0,0,0
1116.35,4,20,0,0,466,24,0,0,0,0
6586.83,6,11,0,0,500,35,0,0,0,0
1570.98,4,13,1,0,293,11,0,0,0,0
7148.78,4,8,0,0,352,10,0,1,0,0
3900.71,9,3,0,0,555,35,1,0,0,0
712.72,9,15,0,0,379,20,1,0,0,0
11251.95,1,22,1,0,51,4,0,0,0,0
2428.43,3,12,0,0,182,6,0,0,0,0
2607.38,3,10,1,0,247,12,1,0,0,0
1525.76,9,3,0,0,186,6,0,0,0,0
2311.65,5,22,0,0,599,26,0,0,0,0
6821.88,7,20,0,1,454,29,0,1,0,0
3680.32,6,21,0,0,114,8,0,0,0,0
6177.46,6,8,0,0,448,25,0,0,0,0
6386.37,12,15,0,0,630,26,0,0,0,0
16658.26,4,10,0,0,294,10,2,0,0,0
3156.48,2,5,0,0,428,24,0,0,0,0
1015.51,3,4,0,0,367,24,2,0,0,0
12928.93,6,9,0,0,141,7,1,0,0,0
3192.35,3,13,0,0,449,23,0,0,0,0
13556.11,5,2,0,1,228,15,1,1,0,0
6524.88,7,16,0,0,837,44,0,0,0,0
3900.51,8,10,0,0,133,11,0,0,0,0
6302.97,6,21,0,0,339,21,0,0,0,0
31288.71,6,6,0,0,653,30,0,0,0,0
35489.09,8,1,0,1,251,16,0,0,0,1
4766.56,7,7,0,1,443,23,0,0,0,0
5219.68,4,23,0,0,1932,116,0,0,0,0
13046.04,5,7,0,0,623,34,1,0,0,0
1909.01,7,16,0,0,459,23,0,0,1,0
6204.75,6,20,0,1,572,30,0,0,0,0
4333.53,8,6,0,0,475,24,0,0,1,0
6086.99,7,15,0,0,175,11,2,1,0,0
1932.62,5,4,0,0,434,21,0,0,0,0
907.26,1,8,0,0,1216,73,0,0,0,0
559.48,5,7,0,0,745,40,0,0,0,0
1454.79,7,16,0,0,279,13,0,0,1,0
2811.08,5,21,0,0,303,20,0,0,0,0
3316.97,4,6,0,0,1269,65,0,0,0,0
30860.46,11,6,0,1,339,15,0,0,0,0
13440.04,5,19,0,0,254,12,0,0,0,0
1699.19,5,11,0,0,180,7,1,1,1,0
6296.24,5,12,0,0,388,21,1,0,0,0
2959.93,6,16,0,0,242,12,0,0,0,0
3346.39,4,3,0,1,376,21,1,0,0,0
5352.54,7,20,0,0,450,19,0,1,0,0
8259.93,9,8,0,0,805,42,1,0,0,0
3167.64,4,15,0,0,299,15,0,0,0,0
12885.42,4,10,0,0,49,4,1,0,1,0
1419.5,3,18,0,0,288,15,0,0,0,0
4475.35,10,14,0,0,291,14,2,0,0,0
59735.02,5,4,0,0,274,13,0,0,0,0
5558.48,8,4,0,0,329,21,1,0,0,0
18642.79,5,21,0,0,70,4,2,0,1,0
4873.27,4,12,0,0,138,9,0,0,0,0
7948.81,6,6,0,1,265,16,0,0,0,0
4201.58,5,3,0,0,622,38,1,0,0,0
3750.3,3,3,0,1,345,15,1,0,0,0
2039.62,5,22,0,0,501,26,0,0,0,0
6838.35,8,23,1,0,122,8,0,0,0,0
1897.82,5,9,0,1,197,8,1,0,0,0
8652.34,7,4,0,1,12,0,1,0,0,1
13164.6,7,10,0,0,60,0,0,0,0,0
6415.88,8,3,0,0,1145,66,0,0,0,0
3340.08,6,13,0,0,115,6,0,0,0,0
7002.1,5,15,0,0,161,11,0,0,0,0
3266.02,12,23,0,0,192,10,1,0,0,0
11333.83,9,7,0,0,931,51,0,0,0,0
712.37,4,4,0,1,119,5,0,0,0,0
3179.22,12,3,0,0,312,19,1,0,1,0
607.4,6,9,0,0,204,12,0,0,0,0
997.19,4,14,0,0,241,10,0,0,0,0
17393.68,6,1,0,0,95,7,1,0,0,1
10885.48,5,18,1,0,209,8,0,0,0,0
2165.75,7,11,0,0,525,37,0,0,1,1
989.79,5,19,0,0,309,19,0,0,0,0
229.4,7,11,0,0,439,24,0,1,0,0
2582.48,4,3,0,0,131,8,0,0,0,0
50031.85,3,0,0,1,569,31,0,0,0,0
6869.76,4,13,0,0,325,15,0,0,0,0
2541.29,11,12,0,1,245,13,0,1,0,0
7080.36,7,19,0,0,272,10,0,0,0,0
933.59,5,21,0,0,357,27,1,0,0,0
3303.3,6,3,0,0,346,15,0,0,0,0
4912.2,2,7,0,0,805,39,0,0,0,0
4080.19,6,4,0,0,367,21,0,0,0,0
9806.55,9,2,0,0,357,19,1,0,0,0
6276.99,5,0,0,0,299,12,0,0,0,0
8676.09,5,1,0,0,411,30,0,0,0,0
2234.18,8,12,0,0,607,34,0,0,0,0
10914.15,4,3,0,1,59,1,0,0,0,0
22673.16,5,4,0,0,52,4,0,0,1,0
1685.56,3,2,0,1,291,18,0,0,0,0
1830.43,7,17,0,0,182,10,0,0,1,0
16912.1,7,15,0,1,343,18,0,0,0,0
3672.6,5,23,0,0,349,19,1,0,0,0
18102.79,5,2,0,1,287,13,1,1,1,1
2856.82,7,5,0,0,718,32,0,0,0,0
19054.25,6,10,0,0,167,6,0,0,1,0
5071.98,6,15,0,0,197,11,0,0,0,0
5757.33,4,3,0,1,856,43,0,0,0,0
21262.88,4,5,0,0,115,1,0,0,0,0
3097.12,7,10,0,0,273,8,0,1,0,0
1735.2,6,0,0,0,252,11,1,0,0,0
2839.65,4,9,1,0,461,24,1,1,0,1
6990.69,8,18,0,0,314,25,0,0,0,0
929.12,4,12,0,0,100,4,0,0,0,0
8412.47,4,10,0,0,223,16,0,0,0,0
2594.71,5,11,0,0,202,12,0,0,0,0
14014.01,10,22,0,0,522,24,0,0,0,0
405.75,8,12,1,0,853,53,0,1,0,0
2025.22,6,12,0,0,718,34,0,0,1,1
823.47,7,22,0,0,306,7,0,0,0,0
1946.47,7,3,0,0,631,34,0,0,0,0
5696.83,3,2,0,0,638,36,1,0,0,0
3717.38,8,10,0,0,974,39,0,0,0,0
3451.7,8,7,0,0,6,1,0,0,0,0
3792.63,5,4,0,0,242,21,0,0,0,0
5450.09,7,2,0,0,505,31,0,0,0,0
1622.08,6,21,0,1,188,8,0,0,0,1
9016.84,5,14,0,0,104,3,0,0,0,0
8627.12,5,16,0,1,128,3,0,0,0,0
6535.72,6,2,0,0,423,15,0,0,0,0
7758.42,5,8,0,0,202,11,0,0,0,0
5981.45,10,14,0,0,130,14,1,0,0,0
34032.57,9,12,0,0,868,56,0,0,0,0
